Fetching top 500 crates from crates.io API...
  370. hashlink                       184,545,867 downloads
  371. security-framework-sys         183,927,130 downloads
  372. pem-rfc7468                    183,343,492 downloads
  373. num_enum                       182,844,923 downloads
  374. num_enum_derive                182,699,998 downloads
  375. phf_codegen                    182,276,506 downloads
  376. schannel                       182,242,765 downloads
  377. num                            182,200,931 downloads
  378. bitvec                         181,193,175 downloads
  379. mime_guess                     180,361,113 downloads
  380. anstyle-wincon                 180,327,980 downloads
  381. radium                         179,002,230 downloads
  382. tungstenite                    178,806,073 downloads
  383. android_system_properties      178,731,955 downloads
  384. windows-result                 177,918,451 downloads
  385. tap                            176,365,606 downloads
  386. rand_xorshift                  175,308,623 downloads
  387. funty                          174,047,510 downloads
  388. lazycell                       173,919,759 downloads
  389. wyz                            173,750,398 downloads
  390. libz-sys                       172,894,707 downloads
  391. polling                        171,909,461 downloads
  392. opentelemetry                  171,620,838 downloads
  393. unsafe-libyaml                 171,479,219 downloads
  394. utf-8                          170,658,784 downloads
  395. arrayref                       170,334,985 downloads
  Page 4 done, 395 crates with repos so far
  396. iana-time-zone-haiku           169,727,070 downloads
  397. serde_core                     169,626,740 downloads
  398. urlencoding                    169,576,729 downloads
  399. windows-link                   168,707,445 downloads
  400. crc                            167,785,830 downloads
  401. simd-adler32                   167,686,185 downloads
  402. criterion-plot                 167,566,098 downloads
  403. cmake                          167,471,827 downloads
  404. csv                            166,512,346 downloads
  405. crypto-bigint                  166,160,869 downloads
  406. valuable                       165,449,454 downloads
  407. brotli                         165,249,310 downloads
  408. tracing-serde                  165,212,204 downloads
  409. yansi                          165,101,770 downloads
  410. brotli-decompressor            164,903,887 downloads
  411. csv-core                       164,838,641 downloads
  412. cast                           163,652,268 downloads
  413. pyo3-build-config              163,569,550 downloads
  414. tonic-build                    163,080,259 downloads
  415. inout                          162,117,941 downloads
  416. unindent                       160,978,038 downloads
  417. xattr                          160,010,257 downloads
  418. pbkdf2                         159,812,667 downloads
  419. tokio-tungstenite              159,706,476 downloads
  420. num_threads                    159,626,836 downloads
  421. os_str_bytes                   159,416,153 downloads
  422. camino                         159,105,705 downloads
  423. fallible-iterator              158,467,269 downloads
  424. cargo_metadata                 158,185,778 downloads
  425. zip                            157,914,694 downloads
  426. combine                        157,788,680 downloads
  427. serde_repr                     156,540,428 downloads
  428. pyo3                           156,492,672 downloads
  429. async-io                       155,984,156 downloads
  430. zeroize_derive                 155,716,370 downloads
  431. twox-hash                      155,701,471 downloads
  432. matches                        155,454,418 downloads
  433. tinytemplate                   155,350,930 downloads
  434. semver-parser                  155,097,954 downloads
  435. event-listener-strategy        154,955,760 downloads
  436. globset                        154,349,260 downloads
  437. pyo3-macros-backend            154,007,794 downloads
  438. pyo3-macros                    153,977,856 downloads
  439. hkdf                           153,112,672 downloads
  440. windows-strings                153,043,576 downloads
  441. serde_path_to_error            152,638,694 downloads
  442. winreg                         151,700,439 downloads
  443. predicates                     150,349,928 downloads
  444. quinn-proto                    149,686,572 downloads
  445. num-derive                     149,007,291 downloads
  446. colored                        148,887,483 downloads
  447. fs_extra                       148,882,790 downloads
  448. quinn-udp                      148,459,181 downloads
  449. curve25519-dalek               148,018,536 downloads
  450. vec_map                        147,934,337 downloads
  451. signal-hook                    147,791,134 downloads
  452. cookie                         147,617,930 downloads
  453. derivative                     147,021,415 downloads
  454. io-lifetimes                   146,604,035 downloads
  455. quinn                          146,191,514 downloads
  456. diff                           146,053,986 downloads
  457. tar                            145,965,167 downloads
  458. crc-catalog                    145,420,303 downloads
  459. flume                          144,917,345 downloads
  460. erased-serde                   144,851,853 downloads
  461. zerotrie                       144,602,767 downloads
  462. plotters                       144,336,277 downloads
  463. pyo3-ffi                       143,750,654 downloads
  464. windows-implement              143,546,605 downloads
  465. phf_macros                     143,466,199 downloads
  466. alloc-no-stdlib                143,295,990 downloads
  467. alloc-stdlib                   142,902,197 downloads
  468. potential_utf                  142,761,620 downloads
  469. hostname                       142,498,416 downloads
  470. ciborium-io                    141,623,214 downloads
  471. ciborium                       141,566,413 downloads
  472. serde_bytes                    141,545,742 downloads
  473. ciborium-ll                    141,500,667 downloads
  474. plotters-backend               140,932,512 downloads
  475. icu_locale_core                140,532,133 downloads
  476. terminal_size                  140,289,571 downloads
  477. windows-interface              140,158,829 downloads
  478. cargo-platform                 140,146,753 downloads
  479. plotters-svg                   140,105,867 downloads
  480. find-msvc-tools                139,487,135 downloads
  481. rand_hc                        139,417,007 downloads
  482. rsa                            137,839,617 downloads
  483. ff                             137,245,046 downloads
  484. scoped-tls                     137,079,120 downloads
  485. pretty_assertions              136,935,607 downloads
  486. indicatif                      136,154,665 downloads
  487. dirs-sys-next                  136,123,322 downloads
  488. opentelemetry_sdk              135,545,856 downloads
  489. async-compression              135,520,304 downloads
  490. group                          134,895,499 downloads
  491. proc-macro-hack                134,838,859 downloads
  492. futures-timer                  134,697,365 downloads
  Page 5 done, 492 crates with repos so far

Cloning 492 crates...
  windows-sys                   ... 
